City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
486,Luanda,AO,80.6,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
491,Zhuhai,CN,71.6,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
494,Sechura,PE,77.0,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
497,Rio Branco,BR,73.4,moderate rain,-9.9747,-67.81,João Paulo Hotel
499,Puerto Ayacucho,VE,78.06,clear sky,5.6639,-67.6236,Posada Turistica Manapiare
503,Kavaratti,IN,83.05,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
508,Ruteng,ID,74.17,overcast clouds,-8.6136,120.4721,Hotel FX72 Ruteng
514,Bara,NG,79.61,broken clouds,10.3744,10.7288,NaN
517,Umm Kaddadah,SD,73.94,broken clouds,13.6017,26.6876,NaN
520,Bosaso,SO,72.5,clear sky,11.2842,49.1816,Red Sea Hotel
522,Ixtapa,MX,72.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
524,Barao De Melgaco,BR,77.0,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
531,Gusau,NG,79.18,overcast clouds,12.1628,6.6614,GUEST INN
540,Poum,NC,79.74,few clouds,-20.2333,164.0167,Gîte kajeon
543,Takoradi,GH,78.58,light rain,4.8845,-1.7554,Raybow International Hotel
545,Morant Bay,JM,80.6,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
546,Xapuri,BR,73.2,moderate rain,-10.6517,-68.5044,Pousada dos Chapurys
549,Birao,CF,73.63,overcast clouds,10.2849,22.7882,NaN
550,Moerai,PF,78.93,scattered clouds,-22.4333,-151.3333,Le Manotel
552,Vaitape,PF,83.07,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
555,Alenquer,BR,75.2,scattered clouds,-1.9417,-54.7383,Josilene Castro
561,Santa Maria,BR,71.22,overcast clouds,-29.6842,-53.8069,Hotel Morotin
566,Ballina,AU,71.6,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
570,Grand-Lahou,CI,78.03,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
572,Angoche,MZ,77.52,light rain,-16.2325,39.9086,Guest House HESADA
576,Berbera,SO,74.1,few clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
577,Cururupu,BR,72.91,few clouds,-1.8283,-44.8683,Pousada Través'cia
582,Morondava,MG,77.43,clear sky,-20.2833,44.2833,La Case Bambou
590,Nsoko,SZ,71.6,overcast clouds,-27.0333,31.95,NaN
595,Lake Havasu City,US,73.4,scattered clouds,34.4839,-114.3224,Heat Hotel
600,Dimbokro,CI,77.38,overcast clouds,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
601,Bokoro,TD,80.82,broken clouds,12.3807,17.0568,NaN
602,Salalah,OM,73.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
608,Kalmunai,LK,81.73,broken clouds,7.4167,81.8167,VS Villa
610,Quatre Cocos,MU,81.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
611,Caravelas,BR,75.25,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
615,Dubai,AE,71.6,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
617,Bitung,ID,82.4,scattered clouds,1.4451,125.1824,K2 Lembeh
619,Harnai,PK,71.04,overcast clouds,30.1005,67.9374,Shah g hotel
621,Teshie,GH,80.6,light rain,5.5836,-0.1072,Adinkra Lodge
622,Vao,NC,76.32,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
623,Port Hedland,AU,82.4,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
626,Madras,IN,78.8,mist,13.0878,80.2785,City home
629,Asyut,EG,71.6,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
633,Hobyo,SO,79.12,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
641,Soubre,CI,74.07,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
644,San-Pedro,CI,75.61,overcast clouds,4.7485,-6.6363,Hotel Maria
645,Fare,PF,83.66,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
647,Acapulco,MX,80.6,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
648,Coahuayana,MX,70.18,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
650,The Valley,AI,77.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
660,Marawi,PH,82.99,broken clouds,7.9986,124.2928,Derogongan Residence
666,Gemena,CD,70.57,light rain,3.25,19.7667,Hôtel Goshen
669,Douala,CM,73.4,scattered clouds,4.0483,9.7043,Hôtel Prince De Galles Douala
670,Finschhafen,PG,84.51,broken clouds,-6.6024,147.8681,Cossam Guest House
678,Dwarka,IN,78.94,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
679,Tefe,BR,70.99,overcast clouds,-3.3542,-64.7114,Aracati Hotel
682,Hounde,BF,81.12,broken clouds,11.5,-3.5167,Carrefour où ouvriers dorment
688,Acari,PE,72.86,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
