City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tazovskiy,RU,67.4667,78.7,-9.9,80,100,19.77,overcast clouds
80,Kaitangata,NZ,-46.2817,169.8464,63.0,62,100,4.0,overcast clouds
81,Jamestown,US,42.097,-79.2353,41.0,28,1,3.15,clear sky
82,Padang,ID,-0.9492,100.3543,86.0,70,20,3.44,few clouds
83,Staraya Kulatka,RU,52.7167,47.6167,13.33,94,76,3.0,broken clouds
84,Ilulissat,GL,69.2167,-51.1,19.4,68,75,6.91,broken clouds
85,Brigantine,US,39.4101,-74.3646,39.0,75,1,5.7,clear sky
86,Praia,CV,14.9215,-23.5087,66.2,82,20,8.05,few clouds
87,Santiago De Cao,PE,-7.9589,-79.2392,72.12,79,95,10.45,overcast clouds
88,Nanortalik,GL,60.1432,-45.2371,29.55,87,100,24.09,light snow
89,East London,ZA,-33.0153,27.9116,67.68,77,38,17.4,scattered clouds
90,Nevelsk,RU,46.6733,141.8633,32.0,59,40,11.18,light snow
91,Altamira,BR,-3.2033,-52.2064,71.46,97,5,1.54,clear sky
92,Nouakchott,MR,18.0858,-15.9785,66.2,77,62,11.5,broken clouds
93,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,75,5.75,broken clouds
94,Gat,IL,31.61,34.7642,57.99,82,0,2.3,clear sky
95,Ryazan,RU,54.6197,39.74,15.28,94,52,8.46,broken clouds
96,Avarua,CK,-21.2078,-159.775,84.2,74,25,9.22,scattered clouds
97,Isangel,VU,-19.55,169.2667,81.14,73,98,12.41,overcast clouds
98,Iberia,US,29.9502,-91.7507,51.01,76,1,5.75,clear sky
99,Vaini,TO,-21.2,-175.2,82.4,83,75,5.75,light rain
100,Victor Harbor,AU,-35.5667,138.6167,80.01,59,8,8.21,clear sky
101,Cabedelo,BR,-6.9811,-34.8339,77.0,88,20,3.44,few clouds
102,Chuhar Kana,PK,31.75,73.8,71.6,68,75,5.46,smoke
103,Taber,CA,49.8167,-112.1518,44.6,31,18,20.71,few clouds
104,Yenagoa,NG,4.9247,6.2642,73.72,90,100,2.68,overcast clouds
105,Bloomington,US,44.8408,-93.2983,51.01,46,20,17.27,few clouds
106,Hervey Bay,AU,-25.2986,152.8535,80.01,81,100,1.01,overcast clouds
107,Esperance,AU,-33.8667,121.9,78.8,44,0,9.22,clear sky
108,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.65,86,0,8.99,clear sky
109,Chuy,UY,-33.6971,-53.4616,69.04,97,100,5.59,overcast clouds
110,Aripuana,BR,-9.1667,-60.6333,71.46,98,97,0.94,overcast clouds
111,Torbay,CA,47.6666,-52.7314,23.0,68,40,17.27,scattered clouds
112,Koygorodok,RU,60.445,50.9968,8.78,97,99,3.87,overcast clouds
113,Salaya,IN,22.3167,69.6,78.26,67,0,2.37,clear sky
114,Zhoucheng,CN,35.9122,116.3117,49.5,21,0,16.78,clear sky
115,Verkhnyaya Maksakovka,RU,61.635,50.9674,17.6,86,75,6.71,light snow
116,Klaksvik,FO,62.2266,-6.589,42.8,75,75,18.41,broken clouds
117,Grinnell,US,41.743,-92.7224,48.2,53,1,13.8,clear sky
118,Bredasdorp,ZA,-34.5322,20.0403,57.2,94,95,2.3,overcast clouds
119,Yar-Sale,RU,66.8333,70.8333,-8.75,91,100,12.48,overcast clouds
120,Port Alfred,ZA,-33.5906,26.891,64.9,87,12,18.03,few clouds
121,Aktau,KZ,43.65,51.2,26.6,100,57,2.24,mist
122,Necochea,AR,-38.5473,-58.7368,61.0,82,0,4.0,clear sky
123,Baruun-Urt,MN,46.6806,113.2792,31.14,26,0,15.82,clear sky
124,Portland,US,45.5234,-122.6762,46.99,71,75,12.66,broken clouds
125,Marsala,IT,37.7966,12.4352,54.0,100,40,4.61,scattered clouds
126,Upernavik,GL,72.7868,-56.1549,-8.32,99,100,11.54,overcast clouds
127,Komsomolskiy,UZ,40.4272,71.7189,50.0,87,100,4.61,overcast clouds
128,Alta Floresta,BR,-9.8756,-56.0861,71.37,96,100,2.44,overcast clouds
129,Axim,GH,4.8699,-2.2405,78.82,85,85,4.85,light rain
130,Balkhash,KZ,46.844,74.9804,35.6,87,40,2.24,light rain
131,Mao,ES,39.8885,4.2658,46.4,57,75,24.16,broken clouds
132,Caohe,CN,30.2297,115.4335,57.0,64,89,6.53,overcast clouds
133,Fort Nelson,CA,58.8053,-122.7002,17.6,57,75,6.91,broken clouds
134,Airai,TL,-8.9266,125.4092,75.79,57,92,4.76,overcast clouds
135,Grootfontein,NA,-19.5667,18.1167,63.41,81,0,3.24,clear sky
136,Beckley,US,37.7782,-81.1882,42.8,33,1,10.36,clear sky
137,Pevek,RU,69.7008,170.3133,-18.98,92,6,1.66,clear sky
138,Ahuimanu,US,21.4447,-157.8378,75.2,73,90,19.57,light rain
139,Namibe,AO,-15.1961,12.1522,72.36,79,64,3.15,broken clouds
140,Fairlie,GB,55.756,-4.8556,37.0,93,73,4.61,broken clouds
141,Buala,SB,-8.145,159.5921,80.22,85,100,5.79,moderate rain
142,Barrow,US,71.2906,-156.7887,-5.8,71,1,10.36,clear sky
143,Morgan City,US,29.6994,-91.2068,55.99,93,40,3.78,scattered clouds
144,Ostrovnoy,RU,68.0531,39.5131,16.9,91,92,8.99,overcast clouds
145,Hofn,IS,64.2539,-15.2082,41.07,75,100,16.11,overcast clouds
146,Iqaluit,CA,63.7506,-68.5145,-14.01,70,1,12.66,clear sky
147,Norman Wells,CA,65.282,-126.8329,-2.2,65,20,5.75,few clouds
148,Vanimo,PG,-2.6741,141.3028,82.2,81,100,4.27,overcast clouds
149,Maragogi,BR,-9.0122,-35.2225,76.17,85,4,4.47,clear sky
150,Sitka,US,57.0531,-135.33,37.4,65,90,17.27,light snow
151,Antofagasta,CL,-23.65,-70.4,62.6,82,20,5.75,few clouds
152,Longyearbyen,SJ,78.2186,15.6401,15.8,73,75,21.85,broken clouds
153,Constitucion,CL,-35.3333,-72.4167,55.47,79,94,5.37,overcast clouds
154,Berekum,GH,7.4534,-2.584,72.72,90,87,2.64,overcast clouds
155,Charters Towers,AU,-20.1,146.2667,87.19,53,99,10.49,overcast clouds
156,Cabadiangan,PH,9.7531,122.4739,90.63,56,67,8.88,broken clouds
157,Prince Rupert,CA,54.3161,-130.3201,37.4,93,90,20.71,snow
158,Port Augusta,AU,-32.5,137.7667,82.0,50,99,6.91,overcast clouds
159,Arraial Do Cabo,BR,-22.9661,-42.0278,76.8,86,0,15.86,clear sky
160,Lorengau,PG,-2.0226,147.2712,86.04,68,93,6.24,overcast clouds
161,Saskylakh,RU,71.9167,114.0833,-30.78,94,53,8.41,broken clouds
162,Kaka,TM,37.3482,59.6143,52.34,59,47,5.23,scattered clouds
163,Mount Gambier,AU,-37.8333,140.7667,71.6,60,90,8.05,overcast clouds
164,Lillooet,CA,50.6856,-121.942,46.4,66,75,17.27,broken clouds
165,Sur,OM,22.5667,59.5289,82.6,35,0,3.11,clear sky
166,Saldanha,ZA,-33.0117,17.9442,59.0,77,0,8.05,clear sky
167,Kapaa,US,22.0752,-159.319,73.4,73,40,21.85,light rain
168,Kodiak,US,57.79,-152.4072,35.6,80,90,12.66,moderate rain
169,Iquitos,PE,-3.7481,-73.2472,75.2,94,90,2.91,moderate rain
170,Ozark,US,37.0209,-93.206,51.01,69,0,1.01,clear sky
171,Matagami,CA,49.7502,-77.6328,42.8,31,1,8.05,clear sky
172,Mahebourg,MU,-20.4081,57.7,78.8,89,40,10.36,light rain
173,Tawang,IN,27.5833,91.8667,51.85,47,0,4.09,clear sky
174,Georgetown,MY,5.4112,100.3354,87.8,66,20,3.44,few clouds
175,Chandbali,IN,20.7833,86.7667,86.95,35,17,5.95,few clouds
176,Aklavik,CA,68.2191,-135.0107,-4.0,59,42,4.61,scattered clouds
177,Sisimiut,GL,66.9395,-53.6735,14.97,86,80,14.38,broken clouds
178,Kurilsk,RU,45.2333,147.8833,30.11,73,100,15.37,light snow
179,Guerrero Negro,MX,27.9769,-114.0611,61.81,75,0,16.91,clear sky
180,Kasongo-Lunda,CD,-6.4667,16.8167,70.39,97,100,1.48,light rain
181,Kidal,ML,18.4411,1.4078,74.34,14,10,8.32,clear sky
182,Clyde River,CA,70.4692,-68.5914,-23.8,76,1,2.3,clear sky
183,Aksu,CN,41.1231,80.2644,44.71,34,66,3.04,broken clouds
184,Hamilton,US,39.1834,-84.5333,46.0,70,1,3.44,clear sky
185,Nova Olimpia,BR,-14.7972,-57.2881,71.8,95,88,2.48,overcast clouds
186,Griffith,US,41.5284,-87.4237,42.8,56,1,6.42,clear sky
187,Uyovu,TZ,-3.2833,31.5258,62.11,97,65,3.71,broken clouds
